id,from,to,source,pos,accept,notes
de-en-01,de,en,das Fenster,noun,the window,plain noun with article
de-en-02,de,en,die Freiheit,noun,the freedom|freedom,abstract noun - article is optional in English
de-en-03,de,en,Wasser,noun-bare,water,noun given WITHOUT an article - must not invent one
de-en-04,de,en,die Kinder,noun-plural,the children,irregular plural
de-en-05,de,en,der Handschuh,noun-compound,the glove,compound that must not be translated piecewise as hand-shoe
de-en-06,de,en,laufen,verb,to run|to walk|run|walk,infinitive
de-en-07,de,en,aufstehen,verb-separable,to get up|get up|to stand up|stand up,separable prefix verb
de-en-08,de,en,sich erinnern,verb-reflexive,to remember|remember,reflexive - the sich must not survive into English
de-en-09,de,en,schnell,adj,fast|quick|quickly|rapid,adjective that is also an adverb in German
de-en-10,de,en,müde,adj,tired,plain adjective
de-en-11,de,en,gestern,adv,yesterday,adverb - must not gain an article
de-en-12,de,en,vielleicht,adv,maybe|perhaps,adverb with two equally good renderings
de-en-13,de,en,noch,particle,still|yet,modal particle with no clean single translation
de-en-14,de,en,wir,pronoun,we,pronoun - must not gain an article
de-en-15,de,en,zwischen,preposition,between,preposition
de-en-16,de,en,dreißig,number,thirty,number written as a word - tests the eszett too
de-en-17,de,en,guten Morgen,phrase,good morning,fixed greeting - lower case in English
de-en-18,de,en,Wie geht es dir?,phrase-question,how are you?|how are you doing?|how do you do?,full question - punctuation should survive
de-en-19,de,en,es regnet,phrase-clause,it is raining|it's raining|it rains,small clause
de-en-20,de,en,die Bank,noun-ambiguous,the bank|the bench,homonym - either sense is accepted, we no longer ask for both
de-fr-01,de,fr,das Fenster,noun,la fenêtre,gender differs from the German
de-fr-02,de,fr,der Tisch,noun,la table,masculine in German feminine in French
de-fr-03,de,fr,das Buch,noun,le livre,plain noun
de-fr-04,de,fr,Wasser,noun-bare,l'eau|eau,bare noun - elision if an article appears at all
de-fr-05,de,fr,die Kinder,noun-plural,les enfants,plural article
de-fr-06,de,fr,der Handschuh,noun-compound,le gant,compound
de-fr-07,de,fr,die Freiheit,noun,la liberté,abstract noun with accent
de-fr-08,de,fr,laufen,verb,courir,infinitive
de-fr-09,de,fr,essen,verb,manger,infinitive
de-fr-10,de,fr,aufstehen,verb-separable,se lever,separable German verb to a French reflexive
de-fr-11,de,fr,schnell,adj,rapide|vite,adjective or adverb
de-fr-12,de,fr,müde,adj,fatigué|fatiguée,adjective with accent
de-fr-13,de,fr,gestern,adv,hier,adverb
de-fr-14,de,fr,vielleicht,adv,peut-être,adverb with a hyphen and an accent
de-fr-15,de,fr,wir,pronoun,nous,pronoun
de-fr-16,de,fr,zwischen,preposition,entre,preposition
de-fr-17,de,fr,dreißig,number,trente,number
